tahun_bulan,jumlah_kecelakaan
2019-01,8
2019-02,2
2019-03,9
2019-04,9
2019-05,4
2019-06,3
2019-07,5
2019-08,8
2019-09,7
2019-10,5
2019-11,5
2019-12,11
2020-01,7
2020-02,6
2020-03,7
2020-04,4
2020-05,7
2020-06,10
2020-07,3
2020-08,7
2020-09,11
2020-10,2
2020-11,5
2020-12,4
2021-01,0
2021-02,5
2021-03,3
2021-04,6
2021-05,9
2021-06,4
2021-07,2
2021-08,5
2021-09,4
2021-10,10
2021-11,5
2021-12,10
2022-01,15
2022-02,9
2022-03,9
2022-04,11
2022-05,17
2022-06,11
2022-07,11
2022-08,8
2022-09,9
2022-10,15
2022-11,9
2022-12,13
2023-01,12
2023-02,16
2023-03,21
2023-04,11
2023-05,12
2023-06,14
2023-07,11
2023-08,12
2023-09,22
2023-10,20
2023-11,16
2023-12,7
