tahun_bulan,jumlah_kecelakaan
2019-01,16
2019-02,12
2019-03,7
2019-04,6
2019-05,9
2019-06,10
2019-07,15
2019-08,16
2019-09,10
2019-10,16
2019-11,18
2019-12,9
2020-01,11
2020-02,6
2020-03,7
2020-04,7
2020-05,7
2020-06,14
2020-07,8
2020-08,1
2020-09,8
2020-10,13
2020-11,9
2020-12,4
2021-01,8
2021-02,3
2021-03,0
2021-04,7
2021-05,10
2021-06,7
2021-07,7
2021-08,14
2021-09,7
2021-10,17
2021-11,8
2021-12,8
2022-01,11
2022-02,4
2022-03,8
2022-04,16
2022-05,13
2022-06,17
2022-07,13
2022-08,13
2022-09,13
2022-10,14
2022-11,12
2022-12,19
2023-01,20
2023-02,11
2023-03,5
2023-04,6
2023-05,19
2023-06,9
2023-07,17
2023-08,13
2023-09,3
2023-10,19
2023-11,14
2023-12,20
