tahun_bulan,jumlah_kecelakaan
2019-01,7
2019-02,6
2019-03,11
2019-04,28
2019-05,11
2019-06,9
2019-07,8
2019-08,19
2019-09,11
2019-10,11
2019-11,8
2019-12,7
2020-01,12
2020-02,9
2020-03,5
2020-04,8
2020-05,5
2020-06,11
2020-07,9
2020-08,11
2020-09,6
2020-10,12
2020-11,8
2020-12,3
2021-01,9
2021-02,5
2021-03,22
2021-04,13
2021-05,14
2021-06,19
2021-07,8
2021-08,11
2021-09,13
2021-10,17
2021-11,16
2021-12,23
2022-01,33
2022-02,23
2022-03,18
2022-04,16
2022-05,23
2022-06,20
2022-07,21
2022-08,23
2022-09,22
2022-10,19
2022-11,10
2022-12,20
2023-01,17
2023-02,18
2023-03,30
2023-04,16
2023-05,18
2023-06,20
2023-07,24
2023-08,17
2023-09,36
2023-10,23
2023-11,30
2023-12,19
